Top,PIPE,STATION,Tree1,Mask1,Tree2,Mask2,Status,Enable0,Enable1,Status Injection,Error Injection,Reviewed,Comments
HOST,,,,,,,,,,,,,
0-21,,,,,,,device_select.pcie_bar01_regs.pcie_intr.stat[21:0],device_select.pcie_bar01_regs.pcie_intr.en0,device_select.pcie_bar01_regs.pcie_intr.en1,device_select.pcie_bar01_regs.pcie_intr.inj,device_select.pcie_bar01_regs.sram_ecc,,
22-23,,,,,,,reserved,,,,,,
24-25,,,,,,,device_select.misc_all_regs.misc_regs.misc_intr.stat,device_select.misc_all_regs.misc_regs.misc_intr.en0,device_select.misc_all_regs.misc_regs.misc_intr.en1,device_select.misc_all_regs.misc_regs.misc_intr.inj,device_select.misc_all_regs.misc_regs.sram_ecc,,
26-27,,,,,,,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.stat,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.en0,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.en1,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.inj,,,
28-31,,,,,,,reserved,,,,,,
,,,,,,,,,,,,,
TBUS,,,,,,,,,,,,,
32:33,,TBC,,,,,device_select.tbc.tbc_tbus.intr_stat0,device_select.tbc.tbc_tbus.intr_en0_0,device_select.tbc.tbc_tbus.intr_en0_1,,,,
,,,,,,,device_select.tbc.tbc_tbus.intr_stat1,device_select.tbc.tbc_tbus.intr_en1_0,device_select.tbc.tbc_tbus.intr_en1_1,,,,
,,,,,,,device_select.tbc.tbc_tbus.intr_stat2,device_select.tbc.tbc_tbus.intr_en2_0,device_select.tbc.tbc_tbus.intr_en2_1,,device_select.tbc.tbc_tbus.intr_inj,,
34:63,,Reserved,,,,,,,,,,,
CBUS,,,,,,,,,,,,,
,,,,,,"[15,14]",device_select.tm_top.tm_qlc_top.qlc[7].intr.stat,device_select.tm_top.tm_qlc_top.qlc[7].intr.en0,device_select.tm_top.tm_qlc_top.qlc[7].intr.en1,device_select.tm_top.tm_qlc_top.qlc[7].intr.inj,device_select.tm_top.tm_qlc_top.qlc[7].ecc,Yes,
80:81,,PRC,,,device_select.tm_top.tm_prc_top.prc_common.pipe_int_status,"[16,0]",device_select.tm_top.tm_prc_top.prc[0].intr.stat,device_select.tm_top.tm_prc_top.prc[0].intr.en0,device_select.tm_top.tm_prc_top.prc[0].intr.en1,device_select.tm_top.tm_prc_top.prc[0].intr.inj,device_select.tm_top.tm_prc_top.prc[0].ecc,Yes,
,,,,,,"[17,1]",device_select.tm_top.tm_prc_top.prc[1].intr.stat,device_select.tm_top.tm_prc_top.prc[1].intr.en0,device_select.tm_top.tm_prc_top.prc[1].intr.en1,device_select.tm_top.tm_prc_top.prc[1].intr.inj,device_select.tm_top.tm_prc_top.prc[1].ecc,Yes,
,,,,,,"[18,2]",device_select.tm_top.tm_prc_top.prc[2].intr.stat,device_select.tm_top.tm_prc_top.prc[2].intr.en0,device_select.tm_top.tm_prc_top.prc[2].intr.en1,device_select.tm_top.tm_prc_top.prc[2].intr.inj,device_select.tm_top.tm_prc_top.prc[2].ecc,Yes,
,,,,,,"[19,3]",device_select.tm_top.tm_prc_top.prc[3].intr.stat,device_select.tm_top.tm_prc_top.prc[3].intr.en0,device_select.tm_top.tm_prc_top.prc[3].intr.en1,device_select.tm_top.tm_prc_top.prc[3].intr.inj,device_select.tm_top.tm_prc_top.prc[3].ecc,Yes,
,,,,,,"[20,4]",device_select.tm_top.tm_prc_top.prc[4].intr.stat,device_select.tm_top.tm_prc_top.prc[4].intr.en0,device_select.tm_top.tm_prc_top.prc[4].intr.en1,device_select.tm_top.tm_prc_top.prc[4].intr.inj,device_select.tm_top.tm_prc_top.prc[4].ecc,Yes,
,,,,,,"[21,5]",device_select.tm_top.tm_prc_top.prc[5].intr.stat,device_select.tm_top.tm_prc_top.prc[5].intr.en0,device_select.tm_top.tm_prc_top.prc[5].intr.en1,device_select.tm_top.tm_prc_top.prc[5].intr.inj,device_select.tm_top.tm_prc_top.prc[5].ecc,Yes,
,,,,,,"[22,6]",device_select.tm_top.tm_prc_top.prc[6].intr.stat,device_select.tm_top.tm_prc_top.prc[6].intr.en0,device_select.tm_top.tm_prc_top.prc[6].intr.en1,device_select.tm_top.tm_prc_top.prc[6].intr.inj,device_select.tm_top.tm_prc_top.prc[6].ecc,Yes,
,,,,,,"[23,7]",device_select.tm_top.tm_prc_top.prc[7].intr.stat,device_select.tm_top.tm_prc_top.prc[7].intr.en0,device_select.tm_top.tm_prc_top.prc[7].intr.en1,device_select.tm_top.tm_prc_top.prc[7].intr.inj,device_select.tm_top.tm_prc_top.prc[7].ecc,Yes,
82:83,,PRE,,,device_select.tm_top.tm_pre_top.pre_common.pipe_int_status,"[16,0]",device_select.tm_top.tm_pre_top.pre[0].intr.stat,device_select.tm_top.tm_pre_top.pre[0].intr.en0,device_select.tm_top.tm_pre_top.pre[0].intr.en1,device_select.tm_top.tm_pre_top.pre[0].intr.inj,device_select.tm_top.tm_pre_top.pre[0].ecc,Yes,
